observable,kind,value,sigma,source,notes
Yp_He4,pynucastro,0.2498880158602559,,pynucastro light network,column=X_He4
Yp_He4,AlterBBN,0.2525,0.000328,AlterBBN stand_cosmo.x 5,Primordial helium-4 mass fraction.
Yp_He4,observed,0.2462,0.0022,Aver2021,observational reference used in the memory
D/H,pynucastro,5.587486125826898e-09,,pynucastro light network,column=D/H
D/H,AlterBBN,2.674e-05,5.462e-07,AlterBBN stand_cosmo.x 5,Deuterium-to-hydrogen number ratio.
D/H,observed,2.527e-05,3e-07,Cooke2018,observational reference used in the memory
He3/H,pynucastro,5.262808101674802e-06,,pynucastro light network,column=He3/H
He3/H,AlterBBN,1.067e-05,1.73e-07,AlterBBN stand_cosmo.x 5,Helium-3-to-hydrogen number ratio.
He3/H,observed,1.1e-05,2e-06,Steigman2010,observational reference used in the memory
Li7/H,pynucastro,9.465001591981953e-08,,pynucastro light network,column=Li7_plus_Be7_over_H
Li7/H,AlterBBN,4.972e-10,3.616e-11,AlterBBN stand_cosmo.x 5,Final mass-7 lithium abundance reported by AlterBBN. This is the quantity compared with observed Li7/H.
Li7/H,observed,1.6e-10,3e-11,FieldsLithiumReview,observational reference used in the memory
