model,t0_s,n_over_p_initial,p_over_n_initial,t_s,T9,T_K,rho_g_cm3,eta,eta10,baryon_sum,Y_n,X_n,Y_H1,X_H1,Y_H2,X_H2,Y_H3,X_H3,Y_He3,X_He3,Y_He4,X_He4,Y_Li6,X_Li6,Y_Li7,X_Li7,Y_Be7,X_Be7,D/H,T/H,He3/H,Li7/H,Be7/H,Li7_plus_Be7_over_H
pynucastro,50.0,0.14285714285714285,7.0,50.0,1.7,1700000000.0,0.0002,1.2088326550782676e-09,12.088326550782677,1.0,0.125,0.125,0.875,0.875,1e-27,2e-27,6.628191391730481e-56,1.9884574175191446e-55,2.1017800238311734e-55,6.30534007149352e-55,4.035589066363353e-85,1.6142356265453412e-84,0.0,0.0,0.0,0.0,0.0,0.0,1.1428571428571429e-27,7.575075876263407e-56,2.4020343129499124e-55,0.0,0.0,0.0
pynucastro,50.0,0.14285714285714285,7.0,50.21474684684931,1.6978403515243465,1697840351.5243466,0.00019849082579161386,1.2042948731222794e-09,12.042948731222793,0.9999999999999994,0.06669839042610994,0.06669839042610994,0.8169836284097447,0.8169836284097447,0.004544782526615831,0.009089565053231661,0.00024834007485745996,0.0007450202245723799,7.720017647391202e-06,2.3160052942173606e-05,0.02661505211882266,0.10646020847529064,1.3345986046736028e-12,8.007591628041616e-12,3.907027490227228e-09,2.7349192431590594e-08,1.2968989163881138e-13,9.078292414716797e-13,0.005562880783134212,0.0003039719110906211,9.44941536027862e-06,4.782259220827033e-09,1.5874233843737143e-13,4.782417963165471e-09
pynucastro,50.0,0.14285714285714285,7.0,50.430416017863266,1.6956809431978934,1695680943.1978934,0.0001969933145823701,1.1997811138937111e-09,11.997811138937111,0.9999999999999983,0.03750255467710431,0.03750255467710431,0.7877472931156334,0.7877472931156334,0.0033570504653170257,0.006714100930634051,0.00018282373261593158,0.0005484711978477947,7.461557648002085e-06,2.2384672944006256e-05,0.041866290005792804,0.16746516002317122,2.2514457465286283e-12,1.3508674479171771e-11,5.052392339752846e-09,3.536674637826992e-08,3.4405148875327605e-13,2.4083604212729325e-12,0.00426158299070695,0.00023208424099160297,9.472019406744954e-06,6.413722248121017e-09,4.3675362868276177e-13,6.414159001749699e-09
pynucastro,50.0,0.14285714285714285,7.0,50.647011474365975,1.693521768225393,1693521768.2253928,0.0001955073768299229,1.1952912780817835e-09,11.952912780817835,0.9999999999999979,0.021500721473388423,0.021500721473388423,0.7717139358629419,0.7717139358629419,0.0025259343624594427,0.0050518687249188855,0.00013705599746090927,0.0004111679923827278,7.332278314075079e-06,2.199683494222524e-05,0.05032506870203556,0.20130027480814225,2.716667857594207e-12,1.6300007145565243e-11,4.897445629371899e-09,3.428211940560329e-08,6.945950881441457e-13,4.86216561700902e-12,0.0032731485659059736,0.00017759948485010995,9.501290534394739e-06,6.346193066859033e-09,9.000680898258487e-13,6.347093134948859e-09
pynucastro,50.0,0.14285714285714285,7.0,50.8645371946952,1.691362819868373,1691362819.868373,0.00019403292365655487,1.1908252666801604e-09,11.908252666801603,0.9999999999999987,0.012486384713133444,0.012486384713133444,0.7626746954519039,0.7626746954519039,0.001923156077073554,0.003846312154147108,0.00010391751818078433,0.000311752554542353,7.274435351874837e-06,2.1823306055624513e-05,0.05516475044120498,0.22065900176481992,2.801806628767936e-12,1.6810839772607615e-11,4.289951017865689e-09,3.002965712505983e-08,1.275483437737945e-12,8.928384064165614e-12,0.002521594184967728,0.0001362540527442183,9.538057831543173e-06,5.6248765606728114e-09,1.6723820068295159e-12,5.626548942679641e-09
pynucastro,50.0,0.14285714285714285,7.0,51.08299717427541,1.6892040914450952,1689204091.4450953,0.00019256986684458393,1.186382980988655e-09,11.86382980988655,0.9999999999999989,0.007322052362119571,0.007322052362119571,0.757490665562493,0.757490665562493,0.0014767458864411262,0.0029534917728822525,7.941382840540399e-05,0.00023824148521621197,7.258992595371966e-06,2.17769777861159e-05,0.057993436678799457,0.23197374671519783,2.621439742135474e-12,1.5728638452812845e-11,3.584696865297823e-09,2.509287805708476e-08,2.2424351951989237e-12,1.5697046366392465e-11,0.001949523543428133,0.00010483802905535915,9.582946596419937e-06,4.732331404553903e-09,2.9603469681487747e-12,4.7352917515220514e-09
pynucastro,50.0,0.14285714285714285,7.0,51.30239542569118,1.6870455763305108,1687045576.3305109,0.00019111811883179637,1.1819643226149023e-09,11.819643226149022,0.9999999999999989,0.0043297309249786245,0.0043297309249786245,0.7544828129393742,0.7544828129393742,0.0011419449792065732,0.0022838899584131465,6.106190122267744e-05,0.0001831857036680323,7.2703127569458925e-06,2.1810938270837676e-05,0.05967463725695525,0.238698549027821,2.3017731170112088e-12,1.3810638702067253e-11,2.923815095577379e-09,2.046670566904165e-08,3.850963099057062e-12,2.6956741693399434e-11,0.0015135467099080667,8.093213016316119e-05,9.636154240043757e-06,3.87525738881519e-09,5.1041097729637774e-12,3.880361498588153e-09
pynucastro,50.0,0.14285714285714285,7.0,51.52273597876086,1.6848872679562203,1684887267.9562204,0.0001896775927069099,1.1775691934760003e-09,11.775691934760003,0.999999999999999,0.002581131919094217,0.002581131919094217,0.7527220149480497,0.7527220149480497,0.0008888361276247789,0.0017776722552495577,4.720385990521307e-05,0.00014161157971563922,7.2991840799780205e-06,2.1897552239934063e-05,0.06068891379997774,0.24275565519991096,1.9417517415882756e-12,1.1650510449529653e-11,2.3554996290418525e-09,1.6488497403292968e-08,6.513005228236592e-12,4.5591036597656143e-11,0.0011808291905559894,6.271087993682624e-05,9.697051414766693e-06,3.129308804930358e-09,8.652603615806424e-12,3.1379614085461648e-09
pynucastro,50.0,0.14285714285714285,7.0,51.744022880610636,1.6827291598104295,1682729159.8104296,0.00018824820220506098,1.1731974958001162e-09,11.731974958001162,0.9999999999999991,0.0015519308680595533,0.0015519308680595533,0.7516832632941921,0.7516832632941921,0.0006964372666203177,0.0013928745332406353,3.667893863776734e-05,0.00011003681591330202,7.3392052017415855e-06,2.2017615605224758e-05,0.06130996589405605,0.2452398635762242,1.6000807274152937e-12,9.600484364491763e-12,1.8872882165531185e-09,1.321101751587183e-08,1.0878009338258145e-11,7.614606536780702e-11,0.0009265036227735559,4.879573675356933e-05,9.76369377918314e-06,2.5107492859189495e-09,1.4471533250036904e-11,2.5252208191689863e-09
pynucastro,50.0,0.14285714285714285,7.0,51.966260195748845,1.680571245437908,1680571245.437908,0.00018682986170332115,1.1688491321280625e-09,11.688491321280626,0.9999999999999989,0.0009419841692904517,0.0009419841692904517,0.7510658565859717,0.7510658565859717,0.000549570173865443,0.001099140347730886,2.8649540678541316e-05,8.594862203562395e-05,7.384824064811118e-06,2.2154472194433353e-05,0.061696226274041394,0.24678490509616557,1.3028202510175748e-12,7.816921506105448e-12,1.5104574695960063e-09,1.0573202287172045e-08,1.794157114954819e-11,1.2559099804683734e-10,0.000731720353210512,3.814517785267198e-05,9.832458765173284e-06,2.0110852548429085e-09,2.3888146415153258e-11,2.0349734012580618e-09
