source_rate,derived_rate,derived_ok,message,source_reactants,source_products,source_Q_MeV
n + p --> d <reaclib_an06>,H2 ⟶ n + p,True,created by Library.derived_backward(use_pf=False),,,
d + n --> t <reaclib_nk06>,H3 ⟶ n + H2,True,created by Library.derived_backward(use_pf=False),,,
d + p --> He3 <reaclib_de04>,He3 ⟶ p + H2,True,created by Library.derived_backward(use_pf=False),,,
d + d --> He4 <reaclib_nacr>,He4 ⟶ H2 + H2,True,created by Library.derived_backward(use_pf=False),,,
d + He4 --> Li6 <reaclib_tu19>,Li6 ⟶ He4 + H2,True,created by Library.derived_backward(use_pf=False),,,
t + p --> He4 <reaclib_cf88>,He4 ⟶ p + H3,True,created by Library.derived_backward(use_pf=False),,,
t + He4 --> Li7 <reaclib_de04>,Li7 ⟶ He4 + H3,True,created by Library.derived_backward(use_pf=False),,,
He3 + n --> He4 <reaclib_ka02>,He4 ⟶ n + He3,True,created by Library.derived_backward(use_pf=False),,,
He3 + He4 --> Be7 <reaclib_cd08>,Be7 ⟶ He4 + He3,True,created by Library.derived_backward(use_pf=False),,,
Li6 + n --> Li7 <reaclib_jz10>,Li7 ⟶ n + Li6,True,created by Library.derived_backward(use_pf=False),,,
Li6 + p --> Be7 <reaclib_nacr>,Be7 ⟶ p + Li6,True,created by Library.derived_backward(use_pf=False),,,
d + d --> n + He3 <reaclib_gi17>,He3 + n ⟶ H2 + H2,True,created by Library.derived_backward(use_pf=False),,,
d + d --> p + t <reaclib_go17>,H3 + p ⟶ H2 + H2,True,created by Library.derived_backward(use_pf=False),,,
t + d --> n + He4 <reaclib_de04>,n + He4 ⟶ H2 + H3,True,created by Library.derived_backward(use_pf=False),,,
He3 + n --> p + t <reaclib_de04>,H3 + p ⟶ n + He3,True,created by Library.derived_backward(use_pf=False),,,
He3 + d --> p + He4 <reaclib_de04>,p + He4 ⟶ H2 + He3,True,created by Library.derived_backward(use_pf=False),,,
He3 + t --> d + He4 <reaclib_cf88>,H2 + He4 ⟶ H3 + He3,True,created by Library.derived_backward(use_pf=False),,,
Li6 + n --> He4 + t <reaclib_cf88>,H3 + He4 ⟶ n + Li6,True,created by Library.derived_backward(use_pf=False),,,
Li6 + p --> He4 + He3 <reaclib_pt05>,He3 + He4 ⟶ p + Li6,True,created by Library.derived_backward(use_pf=False),,,
Li6 + d --> n + Be7 <reaclib_mafo>,Be7 + n ⟶ H2 + Li6,True,created by Library.derived_backward(use_pf=False),,,
Li6 + d --> p + Li7 <reaclib_mafo>,Li7 + p ⟶ H2 + Li6,True,created by Library.derived_backward(use_pf=False),,,
Li7 + p --> He4 + He4 <reaclib_de04>,He4 + He4 ⟶ p + Li7,True,created by Library.derived_backward(use_pf=False),,,
Be7 + n --> p + Li7 <reaclib_db18>,Li7 + p ⟶ n + Be7,True,created by Library.derived_backward(use_pf=False),,,
Be7 + n --> He4 + He4 <reaclib_wag>,He4 + He4 ⟶ n + Be7,True,created by Library.derived_backward(use_pf=False),,,
