t_s,T9_forced,T_K_forced,rho_forced_g_cm3,eta_effective,eta10_effective,T9_radiation_reference,T9_correction,rho_eta_reference_g_cm3,rho_correction,n_gamma_cm3
10.0,2.641099968944984,2641099968.944984,0.0033695251662020464,5.431216760876871e-09,54.31216760876871,4.47213595499958,0.5905679065933567,0.00037844380769133613,8.90363403422438,3.7361342302544015e+29
20.0,2.1837698378278265,2183769837.8278265,0.0010201555318675578,2.908899728252624e-09,29.08899728252624,3.162277660168379,0.6905686573112461,0.00021392792209204913,4.768688079102662,2.1119738684882687e+29
50.0,1.7,1700000000.0,0.0002,1.2088326550782676e-09,12.088326550782677,2.0,0.85,0.00010092381231387312,1.981692877177488,9.963564000000001e+28
100.0,1.3506538981116538,1350653898.1116538,6.0380440489155535e-05,7.276909936136459e-10,7.276909936136459,1.4142135623730951,0.9550565303907946,5.061498496151538e-05,1.1929360551043378,4.9968944935879475e+28
200.0,1.0,1000000000.0,2e-05,5.93899483439953e-10,5.938994834399531,1.0,1.0,2.0542196685095278e-05,0.9736057105573,2.028e+28
500.0,0.6142420751309173,614242075.1309173,5.182245750584273e-06,6.640216966933823e-10,6.6402169669338225,0.6324555320336759,0.9712019960609836,4.760642496469664e-06,1.0885601585137417,4.699878562571411e+27
1000.0,0.4,400000000.0,2e-06,9.279679428749265e-10,9.279679428749265,0.4472135954999579,0.894427190999916,1.3147005878460978e-06,1.5212589227457811,1.29792e+27
3000.0,0.17101209222710034,171012092.22710034,5.591870714388502e-07,3.3201645841495093e-09,33.20164584149509,0.25819888974716115,0.6623269851956464,1.0273710984272651e-07,5.442892760900836,1.0142579294463756e+26
10000.0,0.0480457807534025,48045780.7534025,2.2921562679479005e-07,6.137074689874147e-08,613.7074689874147,0.1414213562373095,0.3397349737813302,2.2783091197426707e-09,100.60778180121554,2.2492292161677867e+24
100000.0,0.0010151490812701823,1015149.0812701824,3.9551791146068833e-07,0.011226894198792364,112268941.98792364,0.044721359549995794,0.022699423530165862,2.148999729746914e-14,18404744.588184204,2.1215703065918374e+19
